crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	Unicode-3.0	Unlicense
aes@0.8.4	X									X			
anyhow@1.0.104	X									X			
async-trait@0.1.91	X									X			
atomic-waker@1.1.2	X									X			
autocfg@1.5.1	X									X			
aws-lc-rs@1.17.3	X							X					
aws-lc-sys@0.43.0	X			X				X		X	X		
backon@1.6.0	X												
base64@0.22.1	X									X			
base64ct@1.8.3	X									X			
bitflags@2.13.1	X									X			
block-buffer@0.10.4	X									X			
block-buffer@0.12.1	X									X			
block-padding@0.3.3	X									X			
bumpalo@3.20.3	X									X			
bytes@1.12.1										X			
cbc@0.1.2	X									X			
cc@1.3.0	X									X			
cfg-if@1.0.4	X									X			
cipher@0.4.4	X									X			
cmake@0.1.58	X									X			
cmov@0.5.4	X									X			
combine@4.6.7										X			
const-oid@0.10.2	X									X			
const-oid@0.9.6	X									X			
const-random@0.1.18	X									X			
const-random-macro@0.1.16	X									X			
core-foundation@0.10.1	X									X			
core-foundation-sys@0.8.7	X									X			
cpufeatures@0.2.17	X									X			
cpufeatures@0.3.0	X									X			
crc-fast@1.10.0	X									X			
crunchy@0.2.4										X			
crypto-common@0.1.7	X									X			
crypto-common@0.2.2	X									X			
ctor@1.0.10	X									X			
ctutils@0.4.2	X									X			
der@0.7.10	X									X			
digest@0.10.7	X									X			
digest@0.11.3	X									X			
displaydoc@0.2.6	X									X			
dlv-list@0.5.2	X									X			
dunce@1.0.5	X					X					X		
either@1.16.0	X									X			
errno@0.3.14	X									X			
fastrand@2.5.0	X									X			
find-msvc-tools@0.1.9	X									X			
form_urlencoded@1.2.2	X									X			
fs_extra@1.3.0										X			
futures@0.3.33	X									X			
futures-channel@0.3.33	X									X			
futures-core@0.3.33	X									X			
futures-executor@0.3.33	X									X			
futures-io@0.3.33	X									X			
futures-macro@0.3.33	X									X			
futures-sink@0.3.33	X									X			
futures-task@0.3.33	X									X			
futures-util@0.3.33	X									X			
generic-array@0.14.7										X			
getrandom@0.2.17	X									X			
getrandom@0.4.3	X									X			
ghac@0.3.0	X												
gloo-timers@0.3.0	X									X			
hashbrown@0.14.5	X									X			
heck@0.5.0	X									X			
hex@0.4.3	X									X			
hmac@0.12.1	X									X			
hmac@0.13.0	X									X			
http@1.4.2	X									X			
http-body@1.1.0										X			
http-body-util@0.1.4										X			
httparse@1.10.1	X									X			
hybrid-array@0.4.13	X									X			
hyper@1.11.0										X			
hyper-rustls@0.27.9	X							X		X			
hyper-util@0.1.20										X			
icu_collections@2.2.0												X	
icu_locale_core@2.2.0												X	
icu_normalizer@2.2.0												X	
icu_normalizer_data@2.2.0												X	
icu_properties@2.2.0												X	
icu_properties_data@2.2.0												X	
icu_provider@2.2.0												X	
idna@1.1.0	X									X			
idna_adapter@1.2.2	X									X			
inout@0.1.4	X									X			
ipnet@2.12.0	X									X			
itertools@0.14.0	X									X			
itoa@1.0.18	X									X			
jiff@0.2.34										X			X
jiff-core@0.1.0										X			X
jiff-tzdb@0.1.8										X			X
jiff-tzdb-platform@0.1.3										X			X
jni@0.22.4	X									X			
jni-macros@0.22.4	X									X			
jni-sys@0.4.1	X									X			
jni-sys-macros@0.4.1	X									X			
jobserver@0.1.35	X									X			
js-sys@0.3.103	X									X			
lazy_static@1.5.0	X									X			
libc@0.2.189	X									X			
libm@0.2.16										X			
link-section@0.19.1	X									X			
linktime-proc-macro@0.2.0	X									X			
linux-raw-sys@0.12.1	X	X								X			
litemap@0.8.2												X	
log@0.4.33	X									X			
md-5@0.11.0	X									X			
mea@0.6.4	X												
memchr@2.8.3										X			X
mime@0.3.17	X									X			
mime_guess@2.0.5										X			
mio@1.2.2										X			
num-bigint-dig@0.8.6	X									X			
num-integer@0.1.46	X									X			
num-iter@0.1.46	X									X			
num-traits@0.2.19	X									X			
once_cell@1.21.4	X									X			
opendal@0.58.1	X												
opendal-core@0.58.1	X												
opendal-http-transport-reqwest@0.58.1	X												
opendal-layer-concurrent-limit@0.58.1	X												
opendal-layer-logging@0.58.1	X												
opendal-layer-mime-guess@0.58.1	X												
opendal-layer-retry@0.58.1	X												
opendal-layer-timeout@0.58.1	X												
opendal-python@0.47.4	X												
opendal-service-azblob@0.58.1	X												
opendal-service-azdls@0.58.1	X												
opendal-service-azure-common@0.58.1	X												
opendal-service-cos@0.58.1	X												
opendal-service-fs@0.58.1	X												
opendal-service-gcs@0.58.1	X												
opendal-service-ghac@0.58.1	X												
opendal-service-http@0.58.1	X												
opendal-service-ipmfs@0.58.1	X												
opendal-service-obs@0.58.1	X												
opendal-service-oss@0.58.1	X												
opendal-service-s3@0.58.1	X												
opendal-service-webdav@0.58.1	X												
opendal-service-webhdfs@0.58.1	X												
openssl-probe@0.2.1	X									X			
ordered-multimap@0.7.3										X			
pbkdf2@0.12.2	X									X			
pem@3.0.6										X			
pem-rfc7468@0.7.0	X									X			
percent-encoding@2.3.2	X									X			
pin-project-lite@0.2.17	X									X			
pkcs1@0.7.5	X									X			
pkcs5@0.7.1	X									X			
pkcs8@0.10.2	X									X			
pkg-config@0.3.33	X									X			
portable-atomic@1.14.0	X									X			
portable-atomic-util@0.2.7	X									X			
potential_utf@0.1.5												X	
ppv-lite86@0.2.21	X									X			
proc-macro2@1.0.107	X									X			
prost@0.14.4	X												
prost-derive@0.14.4	X												
pyo3@0.29.0	X									X			
pyo3-async-runtimes@0.29.0	X												
pyo3-build-config@0.29.0	X									X			
pyo3-ffi@0.29.0	X									X			
pyo3-macros@0.29.0	X									X			
pyo3-macros-backend@0.29.0	X									X			
quick-xml@0.41.0										X			
quote@1.0.47	X									X			
r-efi@6.0.0	X								X	X			
rand@0.8.7	X									X			
rand_chacha@0.3.1	X									X			
rand_core@0.6.4	X									X			
reqsign-aliyun-oss@3.1.1	X												
reqsign-aws-v4@3.0.2	X												
reqsign-azure-storage@3.1.0	X												
reqsign-core@3.1.0	X												
reqsign-file-read-tokio@3.0.2	X												
reqsign-google@3.0.2	X												
reqsign-huaweicloud-obs@3.0.2	X												
reqsign-tencent-cos@3.0.2	X												
reqwest@0.13.4	X									X			
rsa@0.9.10	X									X			
rust-ini@0.21.3										X			
rustc_version@0.4.1	X									X			
