crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	LGPL-2.1-or-later	MIT	MPL-2.0	Unicode-3.0	Unlicense	Zlib
allocator-api2@0.2.21	X			X				
android_system_properties@0.1.5	X			X				
anyhow@1.0.104	X			X				
autocfg@1.5.1	X			X				
base64@0.22.1	X			X				
bitflags@2.13.1	X			X				
block-buffer@0.10.4	X			X				
block-buffer@0.12.1	X			X				
bumpalo@3.20.3	X			X				
bytes@1.12.1				X				
cc@1.3.0	X			X				
cfg-if@1.0.4	X			X				
chrono@0.4.45	X			X				
const-oid@0.10.2	X			X				
core-foundation-sys@0.8.7	X			X				
cpufeatures@0.2.17	X			X				
crypto-common@0.1.7	X			X				
crypto-common@0.2.2	X			X				
dav-server@0.11.0	X							
dav-server-opendalfs@0.7.4	X							
derive-where@1.6.1	X			X				
digest@0.10.7	X			X				
digest@0.11.3	X			X				
displaydoc@0.2.6	X			X				
dyn-clone@1.0.20	X			X				
equivalent@1.0.2	X			X				
errno@0.3.14	X			X				
find-msvc-tools@0.1.9	X			X				
foldhash@0.2.0								X
form_urlencoded@1.2.2	X			X				
futures@0.3.33	X			X				
futures-channel@0.3.33	X			X				
futures-core@0.3.33	X			X				
futures-executor@0.3.33	X			X				
futures-io@0.3.33	X			X				
futures-macro@0.3.33	X			X				
futures-sink@0.3.33	X			X				
futures-task@0.3.33	X			X				
futures-util@0.3.33	X			X				
generic-array@0.14.7				X				
getrandom@0.4.3	X			X				
hashbrown@0.16.1	X			X				
headers@0.4.1				X				
headers-core@0.3.0				X				
htmlescape@0.3.1	X			X	X			
http@1.4.2	X			X				
http-body@1.1.0				X				
http-body-util@0.1.4				X				
httpdate@1.0.3	X			X				
hybrid-array@0.4.13	X			X				
iana-time-zone@0.1.65	X			X				
iana-time-zone-haiku@0.1.2	X			X				
icu_collections@2.2.0						X		
icu_locale_core@2.2.0						X		
icu_normalizer@2.2.0						X		
icu_normalizer_data@2.2.0						X		
icu_properties@2.2.0						X		
icu_properties_data@2.2.0						X		
icu_provider@2.2.0						X		
idna@1.1.0	X			X				
idna_adapter@1.2.2	X			X				
itoa@1.0.18	X			X				
jiff@0.2.34				X			X	
jiff-core@0.1.0				X			X	
jiff-tzdb@0.1.8				X			X	
jiff-tzdb-platform@0.1.3				X			X	
jobserver@0.1.35	X			X				
js-sys@0.3.103	X			X				
libc@0.2.189	X			X				
linux-raw-sys@0.12.1	X	X		X				
litemap@0.8.2						X		
lock_api@0.4.14	X			X				
log@0.4.33	X			X				
lru@0.16.4				X				
md-5@0.11.0	X			X				
mea@0.6.4	X							
memchr@2.8.3				X			X	
mime@0.3.17	X			X				
mime_guess@2.0.5				X				
mio@1.2.2				X				
num-traits@0.2.19	X			X				
once_cell@1.21.4	X			X				
opendal-core@0.58.1	X							
parking_lot@0.12.5	X			X				
parking_lot_core@0.9.12	X			X				
percent-encoding@2.3.2	X			X				
pin-project-lite@0.2.17	X			X				
portable-atomic@1.14.0	X			X				
portable-atomic-util@0.2.7	X			X				
potential_utf@0.1.5						X		
proc-macro2@1.0.107	X			X				
quick-xml@0.41.0				X				
quote@1.0.47	X			X				
r-efi@6.0.0	X		X	X				
redox_syscall@0.5.18				X				
reflink-copy@0.1.30	X			X				
rustix@1.1.4	X	X		X				
rustversion@1.0.23	X			X				
scopeguard@1.2.0	X			X				
serde@1.0.229	X			X				
serde_core@1.0.229	X			X				
serde_derive@1.0.229	X			X				
serde_json@1.0.151	X			X				
sha1@0.10.7	X			X				
shlex@2.0.1	X			X				
slab@0.4.12				X				
smallvec@1.15.2	X			X				
socket2@0.6.5	X			X				
stable_deref_trait@1.2.1	X			X				
syn@2.0.119	X			X				
syn@3.0.3	X			X				
synstructure@0.13.2				X				
tinystr@0.8.3						X		
tokio@1.53.1				X				
tokio-macros@2.7.1				X				
typenum@1.20.1	X			X				
unicase@2.9.0	X			X				
unicode-ident@1.0.24	X			X		X		
url@2.5.8	X			X				
utf8_iter@1.0.4	X			X				
uuid@1.24.0	X			X				
version_check@0.9.5	X			X				
wasi@0.11.1+wasi-snapshot-preview1	X	X		X				
wasm-bindgen@0.2.126	X			X				
wasm-bindgen-macro@0.2.126	X			X				
wasm-bindgen-macro-support@0.2.126	X			X				
wasm-bindgen-shared@0.2.126	X			X				
web-time@1.1.0	X			X				
windows@0.62.2	X			X				
windows-collections@0.3.2	X			X				
windows-core@0.62.2	X			X				
windows-future@0.3.2	X			X				
windows-implement@0.60.2	X			X				
windows-interface@0.59.3	X			X				
windows-link@0.2.1	X			X				
windows-numerics@0.3.1	X			X				
windows-result@0.4.1	X			X				
windows-strings@0.5.1	X			X				
windows-sys@0.61.2	X			X				
windows-threading@0.2.1	X			X				
writeable@0.6.3						X		
xml@1.3.0				X				
xml-rs@1.0.0				X				
xmltree@0.12.0				X				
yoke@0.8.3						X		
yoke-derive@0.8.2						X		
zerofrom@0.1.8						X		
zerofrom-derive@0.1.7						X		
zerotrie@0.2.4						X		
zerovec@0.11.6						X		
zerovec-derive@0.11.3						X		
zmij@1.0.23				X				
