crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	MPL-2.0	Unicode-3.0	Unlicense	Zlib
aes@0.8.4	X									X					
ahash@0.8.12	X									X					
aho-corasick@1.1.4										X				X	
allocator-api2@0.2.21	X									X					
android_system_properties@0.1.5	X									X					
anstream@1.0.0	X									X					
anstyle@1.0.14	X									X					
anstyle-parse@1.0.0	X									X					
anstyle-query@1.1.5	X									X					
anstyle-wincon@3.0.11	X									X					
anyhow@1.0.102	X									X					
approx@0.5.1	X														
arc-swap@1.9.1	X									X					
arcstr@1.2.0	X									X					X
arrayref@0.3.9			X												
arrayvec@0.7.6	X									X					
async-lock@3.4.2	X									X					
async-recursion@0.3.2	X									X					
async-stream@0.3.6										X					
async-stream-impl@0.3.6										X					
async-trait@0.1.89	X									X					
atoi@2.0.0										X					
atomic-waker@1.1.2	X									X					
autocfg@1.5.0	X									X					
awaitable@0.4.0										X					
awaitable-error@0.1.0										X					
aws-lc-rs@1.16.3	X							X							
aws-lc-sys@0.40.0	X			X				X		X	X				
axum@0.6.20										X					
axum@0.8.9										X					
axum-core@0.3.4										X					
axum-core@0.5.6										X					
backon@1.6.0	X														
base64@0.21.7	X									X					
base64@0.22.1	X									X					
base64ct@1.8.3	X									X					
bitflags@1.3.2	X									X					
bitflags@2.11.1	X									X					
bitvec@1.0.1										X					
blake3@1.8.4	X	X				X									
block-buffer@0.10.4	X									X					
block-padding@0.3.3	X									X					
bson@2.15.0										X					
bstr@1.12.1	X									X					
bumpalo@3.20.2	X									X					
bytecount@0.6.9	X									X					
bytemuck@1.25.0	X									X					X
byteorder@1.5.0										X				X	
bytes@1.11.1										X					
cacache@13.1.0	X														
camino@1.2.2	X									X					
cargo-platform@0.1.9	X									X					
cargo_metadata@0.14.2										X					
cbc@0.1.2	X									X					
cc@1.2.60	X									X					
cesu8@1.1.0	X									X					
cfg-if@0.1.10	X									X					
cfg-if@1.0.4	X									X					
chacha20@0.10.0	X									X					
chrono@0.4.44	X									X					
cipher@0.4.4	X									X					
clap@4.6.1	X									X					
clap_builder@4.6.0	X									X					
clap_derive@4.6.1	X									X					
clap_lex@1.1.0	X									X					
cmake@0.1.58	X									X					
colorchoice@1.0.5	X									X					
colored@3.1.1												X			
combine@4.6.7										X					
concurrent-queue@2.5.0	X									X					
concurrent_arena@0.1.11										X					
const-oid@0.9.6	X									X					
const-random@0.1.18	X									X					
const-random-macro@0.1.16	X									X					
const-str@1.1.0										X					
const_panic@0.2.15															X
constant_time_eq@0.4.2	X					X					X				
convert_case@0.10.0										X					
core-foundation@0.10.1	X									X					
core-foundation@0.9.4	X									X					
core-foundation-sys@0.8.7	X									X					
countio@0.3.0										X					
cpufeatures@0.2.17	X									X					
cpufeatures@0.3.0	X									X					
crc@3.4.0	X									X					
crc-catalog@2.4.0	X									X					
crc16@0.4.0										X					
crc32c@0.6.8	X									X					
crc32fast@1.5.0	X									X					
critical-section@1.2.0	X									X					
crossbeam-channel@0.5.15	X									X					
crossbeam-epoch@0.9.18	X									X					
crossbeam-queue@0.3.12	X									X					
crossbeam-utils@0.8.21	X									X					
crunchy@0.2.4										X					
crypto-common@0.1.7	X									X					
csv@1.4.0										X				X	
csv-core@0.1.13										X				X	
ctor@0.6.3	X									X					
ctor-proc-macro@0.0.7	X									X					
darling@0.21.3										X					
darling_core@0.21.3										X					
darling_macro@0.21.3										X					
dashmap@5.5.3										X					
dashmap@6.1.0										X					
data-encoding@2.10.0										X					
der@0.7.10	X									X					
deranged@0.5.8	X									X					
derivative@2.2.0	X									X					
derive-new@0.5.9										X					
derive-syn-parse@0.2.0	X									X					
derive-where@1.6.1	X									X					
derive_destructure2@0.1.3	X									X					
derive_more@2.1.1										X					
derive_more-impl@2.1.1										X					
digest@0.10.7	X									X					
dirs@6.0.0	X									X					
dirs-sys@0.5.0	X									X					
displaydoc@0.2.5	X									X					
dlv-list@0.5.2	X									X					
dotenvy@0.15.7										X					
dtor@0.1.1	X									X					
dtor-proc-macro@0.0.6	X									X					
dunce@1.0.5	X					X					X				
either@1.15.0	X									X					
enum-as-inner@0.6.1	X									X					
equivalent@1.0.2	X									X					
errno@0.3.14	X									X					
error-chain@0.12.4	X									X					
etcd-client@0.17.0	X									X					
etcetera@0.8.0	X									X					
event-listener@5.4.1	X									X					
event-listener-strategy@0.5.4	X									X					
fail@0.4.0	X														
fastpool@1.1.0	X														
fastrand@2.4.1	X									X					
find-msvc-tools@0.1.9	X									X					
fixedbitset@0.5.7	X									X					
flume@0.11.1	X									X					
fnv@1.0.7	X									X					
foldhash@0.1.5															X
form_urlencoded@1.2.2	X									X					
fs2@0.4.3	X									X					
fs_extra@1.3.0										X					
funty@2.0.0										X					
futures@0.3.32	X									X					
futures-channel@0.3.32	X									X					
futures-core@0.3.32	X									X					
futures-executor@0.3.32	X									X					
futures-intrusive@0.5.0	X									X					
futures-io@0.3.32	X									X					
futures-macro@0.3.32	X									X					
futures-sink@0.3.32	X									X					
futures-task@0.3.32	X									X					
futures-util@0.3.32	X									X					
fxhash@0.2.1	X									X					
gearhash@0.1.3	X									X					
generic-array@0.14.7										X					
getrandom@0.1.16	X									X					
getrandom@0.2.17	X									X					
getrandom@0.3.4	X									X					
getrandom@0.4.2	X									X					
ghac@0.2.0	X														
git-version@0.3.9			X												
git-version-macro@0.3.9			X												
glob@0.3.3	X									X					
gloo-timers@0.3.0	X									X					
h2@0.3.27										X					
h2@0.4.13										X					
hashbrown@0.12.3	X									X					
hashbrown@0.14.5	X									X					
hashbrown@0.15.5	X									X					
hashbrown@0.17.0	X									X					
hashlink@0.10.0	X									X					
heapify@0.2.0	X									X					
heck@0.5.0	X									X					
hex@0.4.3	X									X					
hf-xet@1.5.1	X														
hickory-proto@0.25.2	X									X					
hickory-resolver@0.25.2	X									X					
hkdf@0.12.4	X									X					
hmac@0.12.1	X									X					
home@0.5.11	X									X					
http@0.2.12	X									X					
http@1.4.0	X									X					
http-body@0.4.6										X					
http-body@1.0.1										X					
http-body-util@0.1.3										X					
httparse@1.10.1	X									X					
httpdate@1.0.3	X									X					
humantime@2.3.0	X									X					
hyper@0.14.32										X					
hyper@1.9.0										X					
hyper-rustls@0.27.9	X							X		X					
hyper-timeout@0.4.1	X									X					
hyper-timeout@0.5.2	X									X					
hyper-util@0.1.20										X					
iana-time-zone@0.1.65	X									X					
iana-time-zone-haiku@0.1.2	X									X					
icu_collections@2.1.1													X		
icu_locale_core@2.1.1													X		
icu_normalizer@2.1.1													X		
icu_normalizer_data@2.1.1													X		
icu_properties@2.1.2													X		
icu_properties_data@2.1.2													X		
icu_provider@2.1.1													X		
ident_case@1.0.1	X									X					
idna@1.1.0	X									X					
idna_adapter@1.2.1	X									X					
indexmap@1.9.3	X									X					
indexmap@2.14.0	X									X					
inout@0.1.4	X									X					
instant@0.1.13				X											
ipconfig@0.3.4	X									X					
ipnet@2.12.0	X									X					
iri-string@0.7.12	X									X					
is_terminal_polyfill@1.70.2	X									X					
itertools@0.12.1	X									X					
itertools@0.14.0	X									X					
itoa@1.0.18	X									X					
jiff@0.2.23										X				X	
jiff-tzdb@0.1.6										X				X	
jiff-tzdb-platform@0.1.3										X				X	
