crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-3-Clause	BSL-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MPL-2.0	Unicode-3.0	Unlicense
anstream@0.6.21	X							X			
anstyle@1.0.13	X							X			
anstyle-parse@0.2.7	X							X			
anstyle-query@1.1.5	X							X			
anstyle-wincon@3.0.11	X							X			
anyhow@1.0.100	X							X			
atomic-waker@1.1.2	X							X			
backon@1.6.0	X										
base64@0.22.1	X							X			
bitflags@2.10.0	X							X			
block-buffer@0.10.4	X							X			
bumpalo@3.19.0	X							X			
bytes@1.11.0								X			
cbindgen@0.29.2									X		
cc@1.2.47	X							X			
cfg-if@1.0.4	X							X			
clap@4.5.53	X							X			
clap_builder@4.5.53	X							X			
clap_lex@0.7.6	X							X			
colorchoice@1.0.4	X							X			
crypto-common@0.1.7	X							X			
digest@0.10.7	X							X			
displaydoc@0.2.5	X							X			
equivalent@1.0.2	X							X			
errno@0.3.14	X							X			
fastrand@2.3.0	X							X			
find-msvc-tools@0.1.5	X							X			
fnv@1.0.7	X							X			
form_urlencoded@1.2.2	X							X			
futures@0.3.31	X							X			
futures-channel@0.3.31	X							X			
futures-core@0.3.31	X							X			
futures-io@0.3.31	X							X			
futures-macro@0.3.31	X							X			
futures-sink@0.3.31	X							X			
futures-task@0.3.31	X							X			
futures-util@0.3.31	X							X			
generic-array@0.14.7								X			
getrandom@0.2.16	X							X			
getrandom@0.3.4	X							X			
gloo-timers@0.3.0	X							X			
hashbrown@0.16.1	X							X			
heck@0.5.0	X							X			
http@1.3.1	X							X			
http-body@1.0.1								X			
http-body-util@0.1.3								X			
httparse@1.10.1	X							X			
hyper@1.8.1								X			
hyper-rustls@0.27.7	X					X		X			
hyper-util@0.1.18								X			
icu_collections@2.1.1										X	
icu_locale_core@2.1.1										X	
icu_normalizer@2.1.1										X	
icu_normalizer_data@2.1.1										X	
icu_properties@2.1.1										X	
icu_properties_data@2.1.1										X	
