crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense
ahash@0.8.12	X									X		
allocator-api2@0.2.21	X									X		
android_system_properties@0.1.5	X									X		
anyhow@1.0.100	X									X		
async-trait@0.1.89	X									X		
atomic-waker@1.1.2	X									X		
autocfg@1.5.0	X									X		
backon@1.6.0	X											
base64@0.22.1	X									X		
bitflags@2.10.0	X									X		
block-buffer@0.10.4	X									X		
bumpalo@3.19.0	X									X		
bytes@1.11.0										X		
cc@1.2.47	X									X		
cfg-if@1.0.4	X									X		
chrono@0.4.42	X									X		
const-oid@0.9.6	X									X		
const-random@0.1.18	X									X		
const-random-macro@0.1.16	X									X		
core-foundation-sys@0.8.7	X									X		
cpufeatures@0.2.17	X									X		
crc32c@0.6.8	X									X		
crunchy@0.2.4										X		
crypto-common@0.1.7	X									X		
digest@0.10.7	X									X		
displaydoc@0.2.5	X									X		
dlv-list@0.5.2	X									X		
dotenvy@0.15.7										X		
either@1.15.0	X									X		
fastrand@2.3.0	X									X		
find-msvc-tools@0.1.5	X									X		
fnv@1.0.7	X									X		
form_urlencoded@1.2.2	X									X		
futures@0.3.31	X									X		
futures-channel@0.3.31	X									X		
futures-core@0.3.31	X									X		
futures-executor@0.3.31	X									X		
futures-io@0.3.31	X									X		
futures-macro@0.3.31	X									X		
futures-sink@0.3.31	X									X		
futures-task@0.3.31	X									X		
futures-util@0.3.31	X									X		
generic-array@0.14.7										X		
getrandom@0.2.16	X									X		
getrandom@0.3.4	X									X		
gloo-timers@0.3.0	X									X		
hashbrown@0.14.5	X									X		
hex@0.4.3	X									X		
hmac@0.12.1	X									X		
home@0.5.11	X									X		
http@1.3.1	X									X		
http-body@1.0.1										X		
http-body-util@0.1.3										X		
httparse@1.10.1	X									X		
humantime@2.3.0	X									X		
hyper@1.8.1										X		
hyper-rustls@0.27.7	X							X		X		
hyper-util@0.1.18										X		
iana-time-zone@0.1.64	X									X		
iana-time-zone-haiku@0.1.2	X									X		
icu_collections@2.1.1											X	
icu_locale_core@2.1.1											X	
icu_normalizer@2.1.1											X	
icu_normalizer_data@2.1.1											X	
icu_properties@2.1.1											X	
icu_properties_data@2.1.1											X	
icu_provider@2.1.1											X	
idna@1.1.0	X									X		
idna_adapter@1.2.1	X									X		
ipnet@2.11.0	X									X		
iri-string@0.7.9	X									X		
itertools@0.14.0	X									X		
itoa@1.0.15	X									X		
jiff@0.2.16										X		X
jiff-tzdb@0.1.4										X		X
jiff-tzdb-platform@0.1.3										X		X
jobserver@0.1.34	X									X		
js-sys@0.3.82	X									X		
libc@0.2.177	X									X		
libm@0.2.15										X		
litemap@0.8.1											X	
lock_api@0.4.14	X									X		
log@0.4.28	X									X		
md-5@0.10.6	X									X		
memchr@2.7.6										X		X
mio@1.1.0										X		
num-traits@0.2.19	X									X		
object_store@0.12.4	X									X		
object_store_opendal@0.55.0	X											
once_cell@1.21.3	X									X		
opendal@0.55.0	X											
ordered-multimap@0.7.3										X		
parking_lot@0.12.5	X									X		
parking_lot_core@0.9.12	X									X		
percent-encoding@2.3.2	X									X		
pin-project@1.1.10	X									X		
pin-project-internal@1.1.10	X									X		
pin-project-lite@0.2.16	X									X		
pin-utils@0.1.0	X									X		
portable-atomic@1.11.1	X									X		
portable-atomic-util@0.2.4	X									X		
potential_utf@0.1.4											X	
ppv-lite86@0.2.21	X									X		
proc-macro2@1.0.103	X									X		
quick-xml@0.38.4										X		
quote@1.0.42	X									X		
r-efi@5.3.0	X								X	X		
rand@0.8.5	X									X		
rand_chacha@0.3.1	X									X		
rand_core@0.6.4	X									X		
redox_syscall@0.5.18										X		
reqsign@0.16.5	X											
reqsign-aws-v4@2.0.1	X											
reqsign-core@2.0.1	X											
reqsign-file-read-tokio@2.0.1	X											
reqsign-http-send-reqwest@2.0.1	X											
reqwest@0.12.24	X									X		
ring@0.17.14	X							X				
rust-ini@0.21.3										X		
rustc_version@0.4.1	X									X		
rustls@0.23.35	X							X		X		
rustls-pki-types@1.13.0	X									X		
rustls-webpki@0.103.8								X				
rustversion@1.0.22	X									X		
ryu@1.0.20	X				X							
same-file@1.0.6										X		X
scopeguard@1.2.0	X									X		
semver@1.0.27	X									X		
serde@1.0.228	X									X		
serde_core@1.0.228	X									X		
serde_derive@1.0.228	X									X		
serde_json@1.0.145	X									X		
serde_urlencoded@0.7.1	X									X		
sha1@0.10.6	X									X		
sha2@0.10.9	X									X		
shlex@1.3.0	X									X		
slab@0.4.11										X		
smallvec@1.15.1	X									X		
socket2@0.6.1	X									X		
stable_deref_trait@1.2.1	X									X		
subtle@2.6.1				X								
syn@2.0.110	X									X		
sync_wrapper@1.0.2	X											
synstructure@0.13.2										X		
thiserror@2.0.17	X									X		
thiserror-impl@2.0.17	X									X		
tiny-keccak@2.0.2						X						
tinystr@0.8.2											X	
tokio@1.48.0										X		
tokio-macros@2.6.0										X		
tokio-rustls@0.26.4	X									X		
tokio-util@0.7.17										X		
tower@0.5.2										X		
